bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf
22001,170.2,50.9,300,-300,1.05,100,1,500,0,0,0,0,0,0,0,0,0,0,0,0
22005,0,0,300,-300,1.05,100,1,500,0,0,0,0,0,0,0,0,0,0,0,0
