×î¸ß·åÊ±
0.811
0.803
0.795
0.787
0.778
0.774
0.77
0.766
0.761
0.759
0.756
0.753
0.75
0.748
0.746
0.744
0.742
0.74
0.738
0.736
0.733
0.742
0.75
0.759
0.767
0.774
0.782
0.789
0.796
0.805
0.815
0.824
0.833
0.85
0.867
0.884
0.9
0.911
0.922
0.933
0.944
0.95
0.956
0.962
0.967
0.971
0.975
0.979
0.983
0.976
0.97
0.963
0.956
0.954
0.952
0.95
0.947
0.95
0.954
0.957
0.96
0.961
0.962
0.963
0.964
0.965
0.967
0.958
0.97
0.969
0.968
0.968
0.967
0.963
0.96
0.956
0.953
0.962
0.971
0.98
0.989
0.991
0.993
0.995
0.997
0.987
0.977
0.967
0.956
0.937
0.917
0.897
0.878
0.862
0.845
0.828
