中双港35kv,,堡北,,陈家镇35kv,,红星站,,南门站,,新海站,,长江站,,竖河站,,汲浜站,,海门,,长兴,,电动车站,
39.004,-0.3184,19.104,9.552,22.4472,3.8208,17.2732,1.194,52.8544,10.9848,10.8256,2.13328,14.726,3.0248,47.2028,12.1788,21.0144,5.174,374.12,0,0,0,0.320352606,3.073807445
39.445,-0.322,19.32,9.66,22.701,3.864,17.4685,1.2075,53.452,11.109,10.948,2.1574,14.8925,3.059,47.7365,12.3165,21.252,5.2325,378.35,0,0,0,0.359844604,2.9202435
39.935,-0.326,19.56,9.78,22.983,3.912,17.6855,1.2225,54.116,11.247,11.084,2.1842,15.0775,3.097,48.3295,12.4695,21.516,5.2975,383.05,0,0,0,0.403195793,2.76742422
40.376,-0.3296,19.776,9.888,23.2368,3.9552,17.8808,1.236,54.7136,11.3712,11.2064,2.20832,15.244,3.1312,48.8632,12.6072,21.7536,5.356,387.28,0,0,0,0.450641572,2.616053811
40.817,-0.3332,19.992,9.996,23.4906,3.9984,18.0761,1.2495,55.3112,11.4954,11.3288,2.23244,15.4105,3.1654,49.3969,12.7449,21.9912,5.4145,391.51,0,0,0,0.502412895,2.466788256
41.65,-0.34,20.4,10.2,23.97,4.08,18.445,1.275,56.44,11.73,11.56,2.278,15.725,3.23,50.405,13.005,22.44,5.525,399.5,0,0,0,0.558733314,2.320231588
42.483,-0.3468,20.808,10.404,24.4494,4.1616,18.8139,1.3005,57.5688,11.9646,11.7912,2.32356,16.0395,3.2946,51.4131,13.2651,22.8888,5.6355,407.49,0,0,0,0.619815766,2.176932995
43.316,-0.3536,21.216,10.608,24.9288,4.2432,19.1828,1.326,58.6976,12.1992,12.0224,2.36912,16.354,3.3592,52.4212,13.5252,23.3376,5.746,415.48,0,0,0,0.685859147,2.037384756
44.1,-0.36,21.6,10.8,25.38,4.32,19.53,1.35,59.76,12.42,12.24,2.412,16.65,3.42,53.37,13.77,23.76,5.85,423,0,0,0,0.757044686,1.902020996
44.639,-0.3644,21.864,10.932,25.6902,4.3728,19.7687,1.3665,60.4904,12.5718,12.3896,2.44148,16.8535,3.4618,54.0223,13.9383,24.0504,5.9215,428.17,0,0,0,0.833532157,1.771217217
